comparison,mean_difference,ci_lower,ci_upper,prop_gt_zero
Before - During,-0.02144983504739617,-0.038799865702304114,-0.004633423377325752,0.007
During - After,-0.008064811491776958,-0.024969760235209713,0.009196774149020537,0.183
Before - After,-0.02951464653917313,-0.04257240168938627,-0.015795935007261227,0.0
