decade,mean_happiness,ci_lower,ci_upper,n
2000s,5.3569182741757935,5.352822707833337,5.361136275872025,55417
2010s,5.428589602468557,5.424358148221664,5.432561434216937,55417
2020s,5.367499142862298,5.3640109036938135,5.37106050941047,55417
