period,mean_happiness,ci_lower,ci_upper,n
Before,5.393269657172096,5.384126833532322,5.402897983114446,11726
During,5.414719492219493,5.400191236691237,5.428497542997543,4884
After,5.4227843037112695,5.413467398706163,5.4316717951991835,11748
